Type;Metal;CN1;CN2;CN3;CN4;CN5;CN6;CN7;CN8;G;R;S;L-1;A-2;L-2;TP-3;TPY-3;TS-3;SP-4;SS-4;T-4;vTBPY-4;PP-5;SPY-5;TBPY-5;HP-6;OC-6;PPY-6;TPR-6;COC-7;CTPR-7;HP-7;HPY-7;PBPY-7;BTPR-8;CU-8;ETBPY-8;HBPY-8;HPY-8;OP-8;SAPR-8;TDD-8;[];[2];[3];[4];[2,2];[5];[2,3];[6];[3,3];[2,2,2];[2,4];[7];[2,5];[3, 4];[2,2,3];[8];[4,4];[2,2,2,2];[2,6];[2,3,3];[3,5];[2,2,4]
r;Ag;0.001336452;0.531239559;0.178082192;0.27363849;0.009355162;0.005345807;0.001002339;0;0.982292015;0.008352823;0.009355162;0.001336452;0.326762446;0.204477113;0;0;0.178082192;0.027731373;0.026060809;0.169729369;0.05011694;0;0.006682259;0.002672903;0.000668226;0.002672903;0;0.002004678;0;0;0;0.001002339;0;0;0;0;0;0;0;0;0;0.37854995;0.400935516;0.120280655;0.075509522;0.016371534;0.003007016;0;0.004677581;0.000668226;0;0;0;0;0;0;0;0;0;0;0;0;0
g;Al;0;0.000922339;0.000184468;0.749492714;0.173030806;0.076185206;0.000184468;0;0.87954252;0.06401033;0.05644715;0;0.000922339;0;0;0;0.000184468;0.000368936;0.000184468;0.713152555;0.035786755;0;0.035971223;0.137059583;0;0.076185206;0;0;0;0;0;0;0.000184468;0;0;0;0;0;0;0;0;0.258808338;0.399557277;0.171739531;0.066777347;0.045194614;0.011252536;0.003873824;0.006087438;0.001844678;0.025087622;0.009776794;0;0;0;0;0;0;0;0;0;0;0
r;Au;0;0.669354839;0.091129032;0.236693548;0.002419355;0.000403226;0;0;0.99905914;0.000403226;0.000537634;0;0.208467742;0.460887097;0;0;0.091129032;0.218682796;0.011962366;0.004032258;0.002016129;0;0.002150538;0.000268817;0;0.000403226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.646639785;0.221639785;0.080376344;0.016666667;0.033870968;0.000403226;0.000403226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g;Bi;0;0.042435424;0;0.326568266;0.226937269;0.28597786;0.07195572;0.046125461;0.857933579;0.05904059;0.08302583;0;0.042435424;0;0;0;0;0;0.201107011;0.119926199;0.005535055;0;0.051660517;0.175276753;0;0.201107011;0.081180812;0.003690037;0.003690037;0.016605166;0;0;0.051660517;0.012915129;0.003690037;0;0;0;0;0.005535055;0.02398524;0.535055351;0.143911439;0.088560886;0.025830258;0.08302583;0.012915129;0.001845018;0.003690037;0.005535055;0.070110701;0.003690037;0.007380074;0;0;0;0.003690037;0.009225092;0.005535055;0;0;0;0
r;Cd;0;0.012605042;0.00180072;0.322328932;0.12545018;0.407563025;0.106842737;0.023409364;0.81152461;0.093637455;0.094837935;0;0.006002401;0.006602641;0;0;0.00180072;0.006602641;0.004801921;0.294117647;0.016806723;0;0.081032413;0.044417767;0;0.385354142;0.00120048;0.021008403;0.005402161;0.012004802;0;0;0.089435774;0.00180072;0.003601441;0;0.007202881;0;0;0.006002401;0.004801921;0.342136855;0.090036014;0.091236495;0.094837935;0.216686675;0.023409364;0.029411765;0.018007203;0.022809124;0.031812725;0.021608643;0.00060024;0;0;0.00240096;0.003601441;0.0030012;0.006602641;0;0.00060024;0;0.00120048
b;Ce;0;0;0;0.145922747;0.077253219;0.094420601;0.072961373;0.60944206;0.64806867;0.197424893;0.154506438;0;0;0;0;0;0;0;0;0.115879828;0.030042918;0;0.030042918;0.0472103;0;0.051502146;0;0.042918455;0.012875536;0.004291845;0;0;0.055793991;0.017167382;0.008583691;0;0;0;0;0.35193133;0.231759657;0.283261803;0.081545064;0.008583691;0.060085837;0.055793991;0.034334764;0;0.012875536;0.008583691;0.034334764;0.008583691;0;0;0.051502146;0.008583691;0.017167382;0.094420601;0.188841202;0.008583691;0.008583691;0;0.034334764
r;Co;0;0.001504184;0.001128138;0.186518755;0.142897433;0.659396446;0.008084986;0.000470057;0.706590204;0.146375858;0.147033938;0;0.001128138;0.000376046;0;0;0.001128138;0.031681865;0.000846103;0.147598007;0.00639278;0;0.052646423;0.090251011;0;0.657328194;0;0.002068252;0.001504184;0.001128138;0;0;0.005452665;0;0.000188023;0;0;0;0;0.000188023;9.40115E-05;0.228353859;0.076901382;0.073704992;0.126633449;0.185014572;0.055842813;0.024725016;0.04606562;0.0524584;0.095703676;0.031493842;0.001504184;9.40115E-05;0;0.001034126;0.000188023;0.000282034;0;0;0;0;0
r;Cr;0;0.002084574;0.008338297;0.104228708;0.075640262;0.805241215;0.003871352;0.000595593;0.837998809;0.075938058;0.086063133;0;0.000893389;0.001191185;0;0;0.008338297;0.03305539;0.001191185;0.067004169;0.002977963;0;0.062537225;0.013103038;0;0.805241215;0;0;0.000297796;0.000297796;0;0;0.003275759;0;0;0;0;0;0;0;0.000595593;0.423466349;0.103930911;0.074449077;0.075938058;0.056283502;0.075640262;0.015485408;0.037522335;0.020845742;0.094997022;0.021441334;0;0;0;0;0;0;0;0;0;0;0
r;Cu;9.07853E-05;0.042805266;0.009169315;0.382569224;0.406808897;0.156559237;0.001951884;4.53926E-05;0.762278711;0.117657739;0.12006355;9.07853E-05;0.018883341;0.023921925;0;0;0.009169315;0.233681344;0.0030867;0.124285066;0.021516114;0;0.347662279;0.059146618;0;0.156513845;0;4.53926E-05;0;0;0;0;0.001951884;0;0;0;0;0;0;4.53926E-05;0;0.098729006;0.107126645;0.172174308;0.229278257;0.230957785;0.077712211;0.056740808;0.005129369;0.00994099;0.008987744;0.002587381;0.000590104;0;0;0;0;0;4.53926E-05;0;0;0;0
b;Dy;0;0;0;0.009456265;0.023640662;0.056737589;0.089834515;0.820330969;0.302600473;0.373522459;0.323877069;0;0;0;0;0;0;0;0;0.004728132;0.004728132;0;0.014184397;0.009456265;0;0.054373522;0;0.002364066;0.033096927;0.009456265;0;0;0.047281324;0.094562648;0.004728132;0;0;0;0;0.404255319;0.31678487;0.127659574;0.014184397;0.014184397;0.004728132;0.023640662;0.014184397;0.004728132;0.054373522;0.009456265;0.09929078;0.014184397;0.052009456;0.033096927;0;0.040189125;0.047281324;0.033096927;0.231678487;0.082742317;0.002364066;0;0.096926714
